time_window,id.orig_h,id.resp_h,ts_count,ts_min,ts_max,tid_nunique,unit_nunique,id.orig_p_nunique,duration,transaction_rate,iat_mean,iat_std,iat_min,iat_max
29376221,192.168.0.11,192.168.0.12,2700,1.76257326e+09,1.76257332e+09,893,1,1,59.80063009,45.0,0.022222343,0.062597997,0.0,0.207887888
29376221,192.168.0.12,192.168.0.11,900,1.76257326e+09,1.76257332e+09,300,1,1,59.8008709,15.0,0.066667642,0.094168182,0.0,0.200815916
29376221,192.168.0.21,192.168.0.11,2880,1.76257326e+09,1.76257332e+09,951,1,1,59.50109076,48.0,0.020833327,0.099723255,0.0,0.500385046
29376221,192.168.0.21,192.168.0.12,1800,1.76257326e+09,1.76257332e+09,597,1,1,59.50109792,30.0,0.033333533,0.124572783,0.0,0.500848532
29376206,192.168.0.11,192.168.0.12,2700,1.76257236e+09,1.76257242e+09,888,1,1,59.80036306,45.0,0.022221897,0.062595051,0.0,0.20109129
29376206,192.168.0.12,192.168.0.11,900,1.76257236e+09,1.76257242e+09,300,1,1,59.79998279,15.0,0.066664883,0.094178644,0.0,0.201341867
29376206,192.168.0.21,192.168.0.11,2880,1.76257236e+09,1.76257242e+09,950,1,1,59.50143075,48.0,0.020833614,0.099682675,0.0,0.500191927
29376206,192.168.0.21,192.168.0.12,1800,1.76257236e+09,1.76257242e+09,599,1,1,59.50065303,30.0,0.033333788,0.124602576,0.0,0.500690937
29376207,192.168.0.11,192.168.0.12,2700,1.76257242e+09,1.76257248e+09,892,1,1,59.80100107,45.0,0.022222423,0.062594625,0.0,0.202506065
29376207,192.168.0.12,192.168.0.11,900,1.76257242e+09,1.76257248e+09,299,1,1,59.79952598,15.0,0.066666563,0.094174533,0.0,0.200736046
29376207,192.168.0.21,192.168.0.11,2880,1.76257242e+09,1.76257248e+09,956,1,1,59.5016191,48.0,0.020833246,0.099719913,0.0,0.50056386
29376207,192.168.0.21,192.168.0.12,1800,1.76257242e+09,1.76257248e+09,596,1,1,59.50100708,30.0,0.033333204,0.124612299,0.0,0.500993729
29376208,192.168.0.11,192.168.0.12,2700,1.76257248e+09,1.76257254e+09,891,1,1,59.80050302,45.0,0.022221977,0.062593451,0.0,0.202679873
29376208,192.168.0.12,192.168.0.11,900,1.76257248e+09,1.76257254e+09,300,1,1,59.80072093,15.0,0.066667259,0.094179756,0.0,0.200655699
29376208,192.168.0.21,192.168.0.11,2880,1.76257248e+09,1.76257254e+09,952,1,1,59.50043511,48.0,0.020833142,0.099681417,0.0,0.500114202
29376208,192.168.0.21,192.168.0.12,1800,1.76257248e+09,1.76257254e+09,598,1,1,59.50002289,30.0,0.033333027,0.124606407,0.0,0.500739098
29376209,192.168.0.11,192.168.0.12,2700,1.76257254e+09,1.7625726e+09,893,1,1,59.80042291,45.0,0.02222232,0.062588324,0.0,0.200976133
29376209,192.168.0.12,192.168.0.11,902,1.76257254e+09,1.7625726e+09,300,1,1,59.99963617,15.03333333,0.066739562,0.09419534,0.0,0.201341391
29376209,192.168.0.21,192.168.0.11,2880,1.76257254e+09,1.7625726e+09,955,1,1,59.50154805,48.0,0.020833678,0.099676832,0.0,0.499758005
29376209,192.168.0.21,192.168.0.12,1800,1.76257254e+09,1.7625726e+09,597,1,1,59.50085902,30.0,0.033333884,0.124608844,0.0,0.500630856
29376198,192.168.0.11,192.168.0.12,2700,1.76257188e+09,1.76257194e+09,898,1,1,59.80201316,45.0,0.022222516,0.062579836,0.0,0.218780756
29376198,192.168.0.12,192.168.0.11,900,1.76257188e+09,1.76257194e+09,298,1,1,59.79966807,15.0,0.066666124,0.094172939,0.0,0.201407194
29376198,192.168.0.21,192.168.0.11,2880,1.76257188e+09,1.76257194e+09,956,1,1,59.50139999,48.0,0.020833414,0.099692724,0.0,0.49992013
29376198,192.168.0.21,192.168.0.12,1800,1.76257188e+09,1.76257194e+09,598,1,1,59.5009048,30.0,0.033333453,0.124606626,0.0,0.500475883
29376199,192.168.0.11,192.168.0.12,2700,1.76257194e+09,1.762572e+09,892,1,1,59.80032492,45.0,0.022221653,0.062586092,0.0,0.202961922
29376199,192.168.0.12,192.168.0.11,900,1.76257194e+09,1.762572e+09,299,1,1,59.80021715,15.0,0.066667121,0.094175622,0.0,0.201050758
29376199,192.168.0.21,192.168.0.11,2880,1.76257194e+09,1.762572e+09,947,1,1,59.50093198,48.0,0.020833293,0.099700863,0.0,0.500218153
29376199,192.168.0.21,192.168.0.12,1800,1.76257194e+09,1.762572e+09,596,1,1,59.50045681,30.0,0.033333261,0.124612507,0.0,0.500740767
29376200,192.168.0.11,192.168.0.12,2700,1.762572e+09,1.76257206e+09,894,1,1,59.80108261,45.0,0.022222365,0.06257167,0.0,0.202826023
29376200,192.168.0.12,192.168.0.11,900,1.762572e+09,1.76257206e+09,299,1,1,59.80082774,15.0,0.066666947,0.094173072,0.0,0.200694084
29376200,192.168.0.21,192.168.0.11,2880,1.762572e+09,1.76257206e+09,954,1,1,59.5012908,48.0,0.020833475,0.099688648,0.0,0.500002861
29376200,192.168.0.21,192.168.0.12,1800,1.762572e+09,1.76257206e+09,597,1,1,59.50085998,30.0,0.033333587,0.124612538,0.0,0.500299931
29376201,192.168.0.11,192.168.0.12,2700,1.76257206e+09,1.76257212e+09,893,1,1,59.80050302,45.0,0.022222208,0.062594708,0.0,0.208372831
29376201,192.168.0.12,192.168.0.11,900,1.76257206e+09,1.76257212e+09,300,1,1,59.80053711,15.0,0.06666669,0.09417536,0.0,0.201075792
29376201,192.168.0.21,192.168.0.11,2880,1.76257206e+09,1.76257212e+09,947,1,1,59.50123715,48.0,0.020833153,0.099684534,0.0,0.49971199
29376201,192.168.0.21,192.168.0.12,1800,1.76257206e+09,1.76257212e+09,596,1,1,59.50040889,30.0,0.033333044,0.124602034,0.0,0.500335932
